Path	title	description
/	Commonwealth Annuity and Life Insurance Company	Commonwealth Annuity and Life Insurance Company delivers customized reinsurance solutions for insurers and sound annuity products for individual investors.
/about-us	About Commonwealth Annuity | Ratings & Statements	Commonwealth Annuity and Life Insurance Company is headquartered in Brighton, Massachusetts. View our A.M. Best, Moody's and S&P ratings and annual statements.
/reinsurance-solutions	Reinsurance Solutions | Commonwealth Annuity	Commonwealth Annuity provides customized reinsurance solutions for insurance companies. Learn more about our reinsurance capabilities at GlobalAtlantic.com.
/products	Annuity & Life Insurance Products | Commonwealth Annuity	Commonwealth Annuity and Life Insurance Company products are now marketed under the Global Atlantic Financial Group brand. Explore the current product range.
/policyholders	Policyholder Service Centers | Commonwealth Annuity	Find your Commonwealth Annuity service center by company, product name or policy prefix. Access customer service contacts and online account login details.
/policyholders/commonwealth-annuity	Commonwealth Annuity Policyholder Service Center	Commonwealth Annuity policyholder service: call 800.533.7881, visit cwannuity.se2.com, or write to the service center at PO Box 758550, Topeka, KS 66675-8550.
/policyholders/first-allmerica	First Allmerica Policyholder Service Center	First Allmerica policyholder service: call 800.799.6981 or write to the First Allmerica Financial Service Center, PO Box 758552, Topeka, KS 66675-8552.
/policyholders/zurich-american-protective-life	Zurich American/Protective Life Policyholder Service	Zurich American and Protective Life policyholder service: call 800.457.9047, visit insuranceservices.se2.com, or write to PO Box 758557, Topeka, KS 66675-8557.
/policyholders/fidelity-mutual	Fidelity Mutual Policyholder Service Center	Fidelity Mutual policyholder service: call 866.553.5961 or write to Commonwealth Annuity, PO Box 83047, Lincoln, NE 68501-3047 for help with your policy.
/policyholders/transamerica	Transamerica Variable Life Policyholder Service	Transamerica variable life policyholder service: call 800.782.8315 or write to the Variable Life Service Center, PO Box 758554, Topeka, KS 66675-8550.
/agentbrokers	Agent & Broker Service Centers | Commonwealth Annuity	Agents and brokers: select a company name to reach the right Commonwealth Annuity service center and online client account access for your clients' policies.
/agentbrokers/commonwealth-annuity	Commonwealth Annuity Agent & Broker Service Center	Agent and broker support for Commonwealth Annuity policies: call 800.533.7881, visit cwannuity.se2.com, and review product prefixes and mailing addresses.
/agentbrokers/first-allmerica	First Allmerica Agent & Broker Service Center	Agent and broker support for First Allmerica Financial policies: call 800.799.6981 and review product prefixes, mailing addresses and service center details.
/agentbrokers/zurich-american-protective-life	Zurich American/Protective Life Agent & Broker Service	Agent and broker support for Zurich American and Protective Life policies: call 800.457.9047, visit insuranceservices.se2.com, and review product prefixes.
/agentbrokers/fidelity-mutual	Fidelity Mutual Agent & Broker Service Center	Agent and broker support for Fidelity Mutual policies: call 866.553.5961 and review product prefixes, mailing addresses and service center contact details.
/agentbrokers/transamerica	Transamerica Agent & Broker Service Center	Agent and broker support for Transamerica variable life policies: call 800.782.8315 to reach the Variable Life Service Center in Topeka, Kansas, or write to us.
/contact-us	Contact Commonwealth Annuity | Policyholders & Agents	Contact Commonwealth Annuity and Life Insurance Company. Choose policyholder information or agent and broker information to reach the right service center.
/disclosures	Terms of Use & Disclosures | Commonwealth Annuity	Terms of use and disclosures governing access to the Commonwealth Annuity and Life Insurance Company website, including privacy, legal and copyright notices.
/newsroom	Newsroom | Commonwealth Annuity News & Announcements	Read the latest news about Commonwealth Annuity and Global Atlantic Financial Group, including acquisitions, corporate separations and other announcements.
/node/101	Newsroom PDF Archive | Commonwealth Annuity	Archive of Commonwealth Annuity and Global Atlantic Financial Group press release PDFs, covering acquisitions, corporate separations and other announcements.
